		Naive search time 
Sample size				Time
100 			3.8022266000000013
200 			7.53122919999999
300 			10.195641500000015
400 			13.992923200000071
500 			16.519965799999973
600 			18.332469500000173
700 			21.38979910000039
800 			29.560685499999977
900 			29.98875319999999
1000 			39.0608780000006
		Boyer-Moore search time
Sample size				Time
100 			1.943634000000002
200 			2.7178576999999784
300 			4.07251670000003
400 			5.061532700000093
500 			8.410833400000342
600 			7.540179499999894
700 			11.36920530000063
800 			10.71725620000052
900 			13.040744099999841
1000 			14.862586799999633
